date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01,31,16,0.0,11.0,7,26,03:23 AM,03:09 PM,07:20 AM,06:21 PM,16,25,25,24,10,5,68,0.0,1018,31,10,36,8,boise
2019-01-02,32,15,0.0,11.0,7,19,04:17 AM,03:52 PM,07:21 AM,06:22 PM,17,25,25,24,7,9,67,0.0,1017,32,9,27,7,boise
2019-01-03,32,17,0.0,11.0,7,11,05:10 AM,04:37 PM,07:21 AM,06:23 PM,18,27,27,26,9,15,69,0.0,1017,32,9,111,6,boise
2019-01-04,33,18,0.0,11.0,7,4,06:03 AM,05:25 PM,07:21 AM,06:23 PM,18,27,27,26,9,7,69,0.0,1017,33,10,132,6,boise
2019-01-05,32,16,0.0,11.0,7,0,06:55 AM,06:14 PM,07:22 AM,06:24 PM,18,25,25,25,8,13,70,0.0,1017,32,10,145,5,boise
2019-01-06,32,18,0.0,11.0,7,0,07:44 AM,07:05 PM,07:22 AM,06:24 PM,19,25,25,25,11,12,72,0.0,1018,32,10,83,7,boise
2019-01-07,31,17,0.0,11.0,7,3,08:30 AM,07:55 PM,07:22 AM,06:25 PM,19,25,25,24,11,16,74,0.2,1018,31,10,31,7,boise
2019-01-08,31,16,0.0,11.0,7,10,09:14 AM,08:45 PM,07:22 AM,06:26 PM,18,25,25,25,8,24,73,0.0,1017,31,7,55,6,boise
2019-01-09,30,17,0.0,11.0,7,18,09:55 AM,09:35 PM,07:23 AM,06:26 PM,17,25,25,24,8,14,71,0.0,1016,30,10,209,5,boise
2019-01-10,29,16,0.0,8.6,5,25,10:33 AM,10:23 PM,07:23 AM,06:27 PM,18,23,23,23,7,40,76,5.1,1015,29,10,236,6,boise
2019-01-11,29,16,0.0,8.6,5,32,11:10 AM,11:12 PM,07:23 AM,06:28 PM,19,23,23,23,10,53,80,5.9,1016,29,9,28,6,boise
2019-01-12,29,19,0.0,8.6,5,39,11:46 AM,No moonset,07:23 AM,06:28 PM,19,23,23,23,12,55,80,1.5,1018,29,8,30,9,boise
2019-01-13,30,18,0.0,10.1,6,47,12:22 PM,12:01 AM,07:23 AM,06:29 PM,19,26,26,25,11,43,77,0.7,1018,30,8,29,6,boise
2019-01-14,29,17,0.0,10.1,7,54,01:00 PM,12:51 AM,07:23 AM,06:30 PM,19,24,24,24,7,29,77,0.8,1017,29,10,58,6,boise
2019-01-15,29,20,0.0,11.1,7,61,01:40 PM,01:43 AM,07:23 AM,06:30 PM,18,25,25,24,9,22,76,0.6,1017,29,10,61,6,boise
2019-01-16,29,15,0.0,11.1,6,69,02:23 PM,02:37 AM,07:23 AM,06:31 PM,18,24,24,24,8,13,76,0.0,1018,29,10,50,7,boise
2019-01-17,30,16,0.0,11.1,6,76,03:13 PM,03:35 AM,07:23 AM,06:32 PM,17,24,24,23,11,23,74,0.1,1018,30,10,50,8,boise
2019-01-18,30,17,0.0,11.1,7,83,04:07 PM,04:36 AM,07:23 AM,06:32 PM,18,24,24,24,8,30,75,0.9,1017,30,10,42,7,boise
2019-01-19,30,17,0.0,11.1,7,90,05:07 PM,05:39 AM,07:23 AM,06:33 PM,19,25,25,24,6,29,76,0.5,1017,30,10,95,6,boise
2019-01-20,31,16,0.0,11.1,7,98,06:12 PM,06:42 AM,07:23 AM,06:33 PM,18,25,25,24,9,24,73,0.0,1017,31,10,108,6,boise
2019-01-21,31,17,0.0,11.1,7,100,07:18 PM,07:43 AM,07:23 AM,06:34 PM,18,25,25,24,13,14,74,0.0,1018,31,9,32,8,boise
2019-01-22,30,17,0.0,11.1,7,88,08:24 PM,08:39 AM,07:23 AM,06:35 PM,17,26,26,25,16,10,70,0.0,1019,30,8,33,14,boise
2019-01-23,31,16,0.0,11.1,7,81,09:28 PM,09:31 AM,07:23 AM,06:35 PM,17,26,26,25,7,12,68,0.0,1018,31,8,71,7,boise
2019-01-24,32,16,0.0,11.1,7,73,10:29 PM,10:18 AM,07:23 AM,06:36 PM,17,25,25,24,8,10,70,0.0,1018,32,10,122,8,boise
2019-01-25,31,16,0.0,11.1,7,66,11:28 PM,11:03 AM,07:23 AM,06:37 PM,16,26,26,25,10,6,66,0.0,1017,31,10,121,7,boise
2019-01-26,30,17,0.0,11.1,7,59,No moonrise,11:45 AM,07:23 AM,06:37 PM,18,25,25,24,11,18,71,0.0,1016,30,10,84,7,boise
2019-01-27,32,17,0.0,11.2,7,51,12:24 AM,12:27 PM,07:23 AM,06:38 PM,17,26,26,26,17,13,69,0.0,1015,32,10,147,8,boise
2019-01-28,31,17,0.0,11.2,7,44,01:19 AM,01:09 PM,07:22 AM,06:38 PM,18,26,26,25,13,11,71,0.0,1015,31,10,141,6,boise
2019-01-29,31,20,0.0,11.2,7,37,02:13 AM,01:52 PM,07:22 AM,06:39 PM,19,27,27,26,8,22,76,0.6,1015,31,10,159,6,boise
2019-01-30,30,17,0.0,8.6,6,30,03:07 AM,02:36 PM,07:22 AM,06:39 PM,19,25,25,25,8,46,75,0.2,1016,30,10,29,6,boise
2019-01-31,31,17,0.0,11.2,7,26,03:59 AM,03:23 PM,07:22 AM,06:40 PM,18,26,26,26,10,9,73,0.0,1017,31,9,45,7,boise
2019-02-01,31,19,0.0,11.2,7,8,04:51 AM,04:11 PM,07:21 AM,06:41 PM,18,25,25,25,9,15,71,0.0,1017,31,10,18,6,boise
2019-02-02,31,17,0.0,11.2,7,1,05:41 AM,05:00 PM,07:21 AM,06:41 PM,18,25,25,25,6,23,70,0.1,1017,31,10,47,7,boise
2019-02-03,31,17,0.0,11.2,7,0,06:27 AM,05:51 PM,07:21 AM,06:42 PM,18,25,25,25,7,24,72,0.0,1015,31,10,107,5,boise
2019-02-04,30,19,0.0,11.2,7,0,07:12 AM,06:41 PM,07:21 AM,06:42 PM,18,25,25,25,10,27,72,1.0,1015,30,11,241,7,boise
2019-02-05,28,20,0.0,8.6,5,0,07:54 AM,07:31 PM,07:20 AM,06:43 PM,17,23,23,22,12,43,76,3.7,1016,28,11,20,7,boise
2019-02-06,27,20,0.0,8.6,5,7,08:33 AM,08:20 PM,07:20 AM,06:43 PM,17,22,22,21,16,49,80,1.6,1016,27,8,20,10,boise
2019-02-07,28,20,0.0,11.3,6,14,09:10 AM,09:09 PM,07:19 AM,06:44 PM,16,22,22,22,17,40,75,0.2,1016,28,9,33,11,boise
2019-02-08,31,20,0.0,11.3,7,22,09:47 AM,09:57 PM,07:19 AM,06:44 PM,18,26,26,25,9,27,71,0.3,1016,31,10,43,10,boise
2019-02-09,31,17,0.0,11.3,7,29,10:22 AM,10:46 PM,07:19 AM,06:45 PM,18,25,25,25,16,18,70,0.0,1017,31,18,34,10,boise
2019-02-10,30,17,0.0,11.3,7,37,10:59 AM,11:36 PM,07:18 AM,06:45 PM,17,24,24,24,11,27,67,0.0,1017,30,11,47,10,boise
2019-02-11,31,17,0.0,11.3,7,44,11:37 AM,No moonset,07:18 AM,06:46 PM,17,26,26,25,11,14,65,0.0,1017,31,13,41,9,boise
2019-02-12,31,17,0.0,11.3,7,52,12:17 PM,12:27 AM,07:17 AM,06:46 PM,16,26,26,25,9,9,62,0.0,1017,31,11,95,7,boise
2019-02-13,31,18,0.0,11.3,7,60,01:02 PM,01:22 AM,07:17 AM,06:47 PM,17,25,25,25,11,15,66,0.0,1016,31,13,138,6,boise
2019-02-14,31,18,0.0,11.3,7,67,01:52 PM,02:19 AM,07:16 AM,06:47 PM,18,27,27,26,11,24,66,0.0,1016,31,13,94,6,boise
2019-02-15,28,22,0.0,8.6,6,75,02:47 PM,03:19 AM,07:16 AM,06:48 PM,19,25,25,25,11,43,74,1.9,1016,28,12,222,7,boise
2019-02-16,32,21,0.0,11.3,7,82,03:49 PM,04:20 AM,07:15 AM,06:48 PM,18,27,27,26,10,28,68,0.2,1016,32,15,97,9,boise
2019-02-17,33,20,0.0,10.1,7,90,04:53 PM,05:22 AM,07:15 AM,06:48 PM,20,27,27,26,8,30,71,1.6,1017,33,14,89,6,boise
2019-02-18,32,22,0.0,11.4,7,97,06:00 PM,06:20 AM,07:14 AM,06:49 PM,19,28,28,27,7,27,69,0.9,1018,32,11,70,5,boise
2019-02-19,32,19,0.0,11.4,7,100,07:06 PM,07:15 AM,07:13 AM,06:49 PM,17,27,27,26,7,8,64,0.0,1018,32,10,31,6,boise
2019-02-20,32,17,0.0,11.4,7,88,08:09 PM,08:05 AM,07:13 AM,06:50 PM,16,27,27,26,6,5,61,0.0,1017,32,10,93,5,boise
2019-02-21,33,17,0.0,11.4,7,80,09:11 PM,08:52 AM,07:12 AM,06:50 PM,16,27,27,26,6,6,62,0.0,1018,33,10,96,6,boise
2019-02-22,33,17,0.0,11.4,7,73,10:11 PM,09:38 AM,07:11 AM,06:50 PM,17,27,27,26,6,3,63,0.0,1018,33,11,117,7,boise
2019-02-23,33,18,0.0,11.4,7,65,11:09 PM,10:21 AM,07:11 AM,06:51 PM,17,28,28,27,9,7,64,0.0,1018,33,20,28,6,boise
2019-02-24,33,18,0.0,11.4,7,57,No moonrise,11:04 AM,07:10 AM,06:51 PM,17,27,27,26,6,8,63,0.0,1018,33,10,198,5,boise
2019-02-25,33,18,0.0,11.4,7,50,12:05 AM,11:48 AM,07:10 AM,06:52 PM,17,26,26,26,14,3,64,0.0,1018,33,10,27,7,boise
2019-02-26,32,18,0.0,11.4,7,42,01:01 AM,12:33 PM,07:09 AM,06:52 PM,17,26,26,25,12,11,63,0.0,1018,32,10,34,10,boise
2019-02-27,32,18,0.0,11.4,7,35,01:55 AM,01:19 PM,07:08 AM,06:52 PM,17,26,26,26,8,16,64,0.0,1017,32,10,45,6,boise
2019-02-28,32,19,0.0,11.5,7,27,02:47 AM,02:07 PM,07:07 AM,06:53 PM,17,27,27,26,7,22,64,0.0,1017,32,10,139,7,boise
2019-03-01,32,19,0.0,10.1,7,26,03:38 AM,02:57 PM,07:07 AM,06:53 PM,18,27,27,26,11,31,68,0.1,1017,32,10,81,5,boise
2019-03-02,32,19,0.0,8.7,6,19,04:25 AM,03:47 PM,07:06 AM,06:53 PM,18,26,26,25,13,43,68,1.1,1017,32,10,189,5,boise
2019-03-03,31,19,0.0,11.5,7,12,05:11 AM,04:37 PM,07:05 AM,06:54 PM,19,26,26,25,9,45,70,0.3,1016,31,10,84,7,boise
2019-03-04,30,19,0.0,11.5,7,4,05:53 AM,05:27 PM,07:04 AM,06:54 PM,14,24,24,24,10,26,58,0.1,1017,30,10,59,6,boise
2019-03-05,31,19,0.0,10.1,7,0,06:32 AM,06:16 PM,07:04 AM,06:54 PM,15,25,25,25,9,33,61,0.3,1017,31,10,80,6,boise
2019-03-06,32,20,0.0,11.5,7,0,07:11 AM,07:05 PM,07:03 AM,06:55 PM,17,27,27,26,11,36,66,0.7,1018,32,10,10,8,boise
2019-03-07,28,20,0.0,10.1,6,3,07:47 AM,07:54 PM,07:02 AM,06:55 PM,18,24,24,23,14,50,74,0.6,1018,28,9,35,10,boise
2019-03-08,29,20,0.0,10.1,7,10,08:23 AM,08:43 PM,07:01 AM,06:55 PM,16,24,24,24,16,40,69,0.4,1017,29,8,35,11,boise
2019-03-09,31,20,0.0,11.5,7,17,08:59 AM,09:33 PM,07:01 AM,06:55 PM,16,27,27,26,10,14,63,0.0,1016,31,10,39,8,boise
2019-03-10,30,20,0.0,10.1,6,24,09:37 AM,10:23 PM,07:00 AM,06:56 PM,16,25,25,25,14,27,66,0.4,1018,30,10,22,10,boise
2019-03-11,30,19,0.0,11.6,7,32,10:16 AM,11:17 PM,06:59 AM,06:56 PM,14,24,24,24,14,8,59,0.0,1018,30,10,43,9,boise
2019-03-12,30,19,0.0,11.6,7,39,10:59 AM,No moonset,06:58 AM,06:56 PM,15,24,24,24,15,12,66,0.3,1017,30,10,30,12,boise
2019-03-13,29,19,0.0,11.6,7,46,11:46 AM,12:12 AM,06:57 AM,06:57 PM,15,24,24,24,16,29,66,0.1,1016,29,10,28,12,boise
2019-03-14,32,19,0.0,11.6,7,54,12:37 PM,01:09 AM,06:57 AM,06:57 PM,15,25,25,25,14,12,63,0.0,1017,32,10,38,11,boise
2019-03-15,31,19,0.0,11.6,7,61,01:34 PM,02:08 AM,06:56 AM,06:57 PM,16,24,24,24,13,34,69,1.0,1017,31,9,35,10,boise
2019-03-16,30,18,0.0,10.2,7,68,02:34 PM,03:07 AM,06:55 AM,06:57 PM,16,24,24,23,6,46,66,0.5,1017,30,11,160,3,boise
2019-03-17,30,18,0.0,11.6,7,75,03:38 PM,04:04 AM,06:54 AM,06:58 PM,15,24,24,23,11,25,64,0.1,1016,30,19,156,7,boise
2019-03-18,32,20,0.0,11.6,7,83,04:43 PM,04:59 AM,06:53 AM,06:58 PM,14,26,26,26,9,15,57,0.0,1016,32,20,191,6,boise
2019-03-19,33,19,0.0,11.6,7,90,05:47 PM,05:51 AM,06:52 AM,06:58 PM,15,26,26,25,11,24,60,0.4,1016,33,10,218,8,boise
2019-03-20,32,20,0.0,10.2,7,97,06:50 PM,06:39 AM,06:52 AM,06:58 PM,16,26,26,25,10,43,64,2.3,1015,32,10,246,6,boise
2019-03-21,29,20,0.0,6.0,6,100,07:51 PM,07:25 AM,06:51 AM,06:59 PM,17,26,26,25,9,77,67,3.9,1015,29,10,242,6,boise
2019-03-22,29,20,0.0,10.2,6,88,08:51 PM,08:10 AM,06:50 AM,06:59 PM,17,25,25,24,12,60,67,8.3,1016,29,9,180,8,boise
2019-03-23,31,20,0.0,10.2,7,81,09:50 PM,08:54 AM,06:49 AM,06:59 PM,16,26,26,25,13,46,64,6.8,1017,31,9,203,8,boise
2019-03-24,30,19,0.0,11.6,7,74,10:48 PM,09:39 AM,06:48 AM,06:59 PM,16,26,26,24,13,20,66,0.3,1018,30,10,33,9,boise
2019-03-25,32,21,0.0,10.3,6,66,11:45 PM,10:25 AM,06:47 AM,07:00 PM,17,26,26,25,7,42,64,2.4,1015,32,10,239,6,boise
2019-03-26,31,21,0.0,10.3,6,59,No moonrise,11:12 AM,06:46 AM,07:00 PM,17,27,27,25,9,48,66,8.4,1014,31,9,270,6,boise
2019-03-27,29,21,0.0,7.6,6,52,12:39 AM,12:01 PM,06:46 AM,07:00 PM,18,26,26,24,8,56,71,15.3,1014,29,9,247,5,boise
2019-03-28,29,20,0.0,6.3,6,45,01:32 AM,12:51 PM,06:45 AM,07:00 PM,17,25,25,24,10,53,70,14.5,1015,29,17,264,6,boise
2019-03-29,29,19,0.0,7.6,6,37,02:21 AM,01:41 PM,06:44 AM,07:00 PM,18,24,24,23,10,39,75,12.2,1015,29,17,355,6,boise
2019-03-30,28,19,0.0,10.3,6,30,03:08 AM,02:31 PM,06:43 AM,07:01 PM,18,23,23,23,12,40,75,11.0,1015,28,17,253,8,boise
2019-03-31,30,19,0.0,8.9,6,26,03:51 AM,03:22 PM,06:42 AM,07:01 PM,17,25,25,24,14,43,71,2.8,1016,30,10,21,8,boise
2019-04-01,29,19,0.0,10.3,7,9,04:32 AM,04:11 PM,06:41 AM,07:01 PM,18,25,25,24,16,45,72,2.8,1017,29,10,25,10,boise
2019-04-02,32,20,0.0,11.6,7,1,05:10 AM,05:01 PM,06:41 AM,07:01 PM,18,27,27,26,12,44,68,5.1,1018,32,10,23,8,boise
2019-04-03,32,22,0.0,10.3,6,0,05:47 AM,05:50 PM,06:40 AM,07:02 PM,19,27,27,25,16,46,72,4.7,1019,32,10,30,11,boise
2019-04-04,30,20,0.0,10.3,7,0,06:23 AM,06:39 PM,06:39 AM,07:02 PM,17,25,25,24,13,38,67,0.1,1018,30,9,37,8,boise
2019-04-05,31,20,0.0,10.3,7,0,07:00 AM,07:29 PM,06:38 AM,07:02 PM,16,26,26,25,12,34,65,0.3,1017,31,9,145,8,boise
2019-04-06,31,20,0.0,11.6,7,6,07:37 AM,08:20 PM,06:37 AM,07:02 PM,16,26,26,25,8,34,61,0.2,1018,31,10,62,6,boise
2019-04-07,31,21,0.0,9.0,6,14,08:16 AM,09:13 PM,06:36 AM,07:03 PM,17,26,26,24,9,39,65,0.6,1018,31,10,23,6,boise
2019-04-08,29,20,0.0,10.3,6,21,08:58 AM,10:08 PM,06:36 AM,07:03 PM,16,25,25,24,8,40,65,1.7,1017,29,10,50,5,boise
2019-04-09,29,20,0.0,11.6,7,29,09:43 AM,11:05 PM,06:35 AM,07:03 PM,16,24,24,24,12,41,64,0.9,1015,29,10,204,8,boise
2019-04-10,33,20,0.0,11.6,7,36,10:33 AM,No moonset,06:34 AM,07:03 PM,16,27,27,26,11,34,61,1.1,1014,33,10,108,9,boise
2019-04-11,34,21,0.0,10.3,7,44,11:27 AM,12:02 AM,06:33 AM,07:04 PM,16,28,28,26,11,41,60,1.7,1014,34,10,101,9,boise
2019-04-12,33,22,0.0,10.3,7,52,12:25 PM,01:00 AM,06:33 AM,07:04 PM,17,27,27,26,10,43,61,0.8,1015,33,10,118,8,boise
2019-04-13,31,21,0.0,7.7,6,59,01:26 PM,01:57 AM,06:32 AM,07:04 PM,18,26,26,25,10,67,65,1.7,1015,31,10,171,7,boise
2019-04-14,32,21,0.0,11.6,7,67,02:28 PM,02:51 AM,06:31 AM,07:04 PM,17,27,27,25,9,41,62,1.0,1015,32,10,71,6,boise
2019-04-15,32,21,0.0,10.3,7,74,03:31 PM,03:42 AM,06:30 AM,07:05 PM,18,27,27,26,9,50,64,0.9,1016,32,10,177,6,boise
2019-04-16,33,20,0.0,11.6,7,82,04:32 PM,04:29 AM,06:29 AM,07:05 PM,18,27,27,25,13,30,67,0.3,1016,33,10,176,8,boise
2019-04-17,31,20,0.0,11.6,7,89,05:33 PM,05:15 AM,06:29 AM,07:05 PM,17,26,26,25,10,24,67,0.5,1015,31,10,27,6,boise
2019-04-18,31,20,0.0,10.3,7,97,06:33 PM,05:59 AM,06:28 AM,07:06 PM,16,26,26,25,7,33,64,0.3,1015,31,10,51,5,boise
2019-04-19,30,19,0.0,11.6,7,100,07:33 PM,06:43 AM,06:27 AM,07:06 PM,16,25,25,24,8,44,62,0.2,1016,30,10,197,5,boise
2019-04-20,31,20,0.0,10.3,6,88,08:31 PM,07:28 AM,06:27 AM,07:06 PM,15,25,25,24,12,44,58,0.5,1017,31,9,99,8,boise
2019-04-21,31,20,0.0,10.3,6,81,09:30 PM,08:14 AM,06:26 AM,07:06 PM,17,25,25,24,9,46,67,1.9,1017,31,9,260,5,boise
2019-04-22,31,19,0.0,7.7,6,73,10:27 PM,09:01 AM,06:25 AM,07:07 PM,17,24,24,24,11,46,71,3.9,1015,31,10,13,6,boise
2019-04-23,30,20,0.0,7.7,6,65,11:22 PM,09:51 AM,06:25 AM,07:07 PM,18,25,25,24,9,60,71,7.8,1014,30,10,305,6,boise
2019-04-24,32,20,0.0,10.3,7,58,No moonrise,10:41 AM,06:24 AM,07:07 PM,18,27,27,25,9,39,68,0.4,1015,32,10,22,7,boise
2019-04-25,34,21,0.0,11.6,7,50,12:14 AM,11:33 AM,06:23 AM,07:08 PM,18,26,26,25,9,26,65,0.2,1016,34,10,35,7,boise
2019-04-26,34,21,0.0,11.6,7,43,01:03 AM,12:24 PM,06:23 AM,07:08 PM,17,27,27,26,10,33,64,0.3,1016,34,10,204,7,boise
2019-04-27,33,22,0.0,11.6,7,35,01:48 AM,01:15 PM,06:22 AM,07:08 PM,17,27,27,26,12,26,61,0.0,1015,33,10,44,7,boise
2019-04-28,32,22,0.0,9.0,6,28,02:29 AM,02:05 PM,06:21 AM,07:09 PM,19,27,27,26,10,45,67,2.1,1015,32,10,167,7,boise
2019-04-29,34,21,0.0,10.3,6,20,03:09 AM,02:54 PM,06:21 AM,07:09 PM,18,26,26,25,11,47,67,5.7,1016,34,9,201,7,boise
